stop_id,stop_code,stop_name,stop_desc,stop_lon,stop_lat,zone_id,stop_url,location_type,parent_station,stop_timezone,level_id,wheelchair_boarding,platform_code
IDFM:StopPlaceEntrance:50170314,,Entrée / Sortie,,1.6030851695789512,48.795858654301554,,,2,IDFM:63893,,,0,
IDFM:StopPlaceEntrance:50170514,,pl. de la Gare,,1.602279719790781,48.79593918768592,,,2,IDFM:63893,,,0,
IDFM:StopPlaceEntrance:50170515,,pl. de la Gare,,1.6026355296450914,48.795871387798066,,,2,IDFM:63893,,,0,
IDFM:StopPlaceEntrance:50170814,,r. de la Gare,,1.9707680002089194,49.09976556474833,,,2,IDFM:67131,,,0,
IDFM:StopPlaceEntrance:50170487,,Passerelle (côté Courbevoie,,2.268339914868019,48.905002416151234,,,2,IDFM:72124,,,0,
IDFM:StopPlaceEntrance:50170220,,Bâtiment voyageur (côté Asnières),,2.2684497925206495,48.90592039326258,,,2,IDFM:72124,,,0,
IDFM:StopPlaceEntrance:50170221,,Bâtiment voyageur (côté Courbevoie),,2.268652393057494,48.90509425650303,,,2,IDFM:72124,,,0,
IDFM:StopPlaceEntrance:50170486,,Passerelle (côté Asnières),,2.267972983526909,48.90587251425883,,,2,IDFM:72124,,,0,
IDFM:StopPlaceEntrance:50170222,,Bâtiment voyageur (côté Courbevoie),,2.269018931178165,48.90522239874354,,,2,IDFM:72124,,,0,
IDFM:StopPlaceEntrance:50170358,,Entrée / Sortie,,2.263237457661453,48.98983668763249,,,2,IDFM:65910,,,0,
IDFM:StopPlaceEntrance:50170034,,14 bd Pasteur,,2.263278214958999,48.990817119512215,,,2,IDFM:65910,,,0,
IDFM:StopPlaceEntrance:50170359,,Entrée / Sortie,,2.263550309508401,48.98993752576478,,,2,IDFM:65910,,,0,
IDFM:StopPlaceEntrance:50171161,,r. du Clos aux Biches,,1.7024306800990296,48.82662540159353,,,2,IDFM:64175,,,0,
IDFM:StopPlaceEntrance:50170826,,r. de la Gare (guichet),,1.7028204899927397,48.82683650800245,,,2,IDFM:64175,,,0,
IDFM:StopPlaceEntrance:50171247,,r. Marcel Neyrat,,3.0242935251512684,48.959103743969955,,,2,IDFM:68980,,,0,
IDFM:StopPlaceEntrance:50170610,,pl. de la Gare (bâtiment voyageur),,3.0253314561481215,48.959301361195116,,,2,IDFM:68980,,,0,
IDFM:StopPlaceEntrance:50170484,,Parking Sud,,3.0269154277741595,48.959112176485135,,,2,IDFM:68980,,,0,
IDFM:StopPlaceEntrance:50170440,,Entrée / Sortie,,3.02455309420796,48.95933749254795,,,2,IDFM:68980,,,0,
IDFM:StopPlaceEntrance:50170573,,pl. de la Gare,,3.025112955132714,48.95928342242895,,,2,IDFM:68980,,,0,
IDFM:StopPlaceEntrance:50170168,,av. du Général De Gaulle,,2.0279524832777303,48.97053512431866,,,2,IDFM:65443,,,0,
IDFM:StopPlaceEntrance:50170522,,pl. de la Gare,,2.0276707520206427,48.97099148091228,,,2,IDFM:65443,,,0,
IDFM:StopPlaceEntrance:50170620,,pl. de la Gare (souterrain),,2.216226791042939,48.51445159155341,,,2,IDFM:59734,,,0,
IDFM:StopPlaceEntrance:50170576,,pl. de la Gare,,2.2158771897212577,48.51428735281648,,,2,IDFM:59734,,,0,
IDFM:StopPlaceEntrance:50170911,,r. des Ecoles / Chemin latéral,,2.2158181920482187,48.514610828810696,,,2,IDFM:59734,,,0,
